game_id,game_date,team,FGA_2,FGM_2,FGA_3,FGM_3,FTA,FTM,AST,BLK,STL,TOV,TOV_team,DREB,OREB,F_tech,F_personal,team_score,opponent_team_score,largest_lead,notD1_incomplete,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away,home_away_NS,travel_dist,result,game_count,wins,win_per,home_game_count,away_game_count,region
game_2022_1393,2021-12-06,nebraska_cornhuskers,44,22,19,4,18,14,18,7,8,12,0,18,14,0,14,70,67,13.0,False,0.0,5.0,3300.0,0.0,1474.0,away,-1,541.0,1,32,24,0.75,17.0,11.0,West
game_2022_2153,2022-01-04,nebraska_cornhuskers,38,22,20,8,16,11,14,4,11,21,0,30,12,2,18,79,58,21.0,False,0.0,5.0,3591.0,0.0,1034.0,home,1,0.0,1,32,24,0.75,17.0,11.0,West
game_2022_2428,2022-01-13,nebraska_cornhuskers,39,18,21,6,18,11,9,2,9,19,0,30,11,0,19,65,72,3.0,False,0.0,4.0,3477.0,0.0,883.0,away,-1,883.0,0,32,24,0.75,17.0,11.0,West
game_2022_2621,2022-01-16,nebraska_cornhuskers,39,18,30,14,8,5,19,3,6,13,0,24,8,0,28,83,93,16.0,False,0.0,3.0,8473.0,0.0,505.0,away,-1,440.0,0,32,24,0.75,17.0,11.0,West
game_2022_3095,2022-01-27,nebraska_cornhuskers,44,25,25,8,6,3,20,4,8,9,0,24,19,0,14,77,44,33.0,False,0.0,11.0,3528.0,0.0,440.0,home,1,0.0,1,32,24,0.75,17.0,11.0,West
game_2022_3311,2022-01-30,nebraska_cornhuskers,38,18,20,11,16,12,22,6,8,18,2,33,8,0,14,81,66,22.0,False,0.0,3.0,4810.0,0.0,0.0,home,1,0.0,1,32,24,0.75,17.0,11.0,West
game_2022_3426,2022-02-03,nebraska_cornhuskers,42,21,25,7,18,13,23,4,7,13,0,30,16,0,15,76,61,17.0,False,0.0,2.0,3839.0,0.0,0.0,home,1,0.0,1,32,24,0.75,17.0,11.0,West
game_2022_3645,2022-02-06,nebraska_cornhuskers,39,15,24,9,11,8,12,3,9,19,1,23,14,0,17,65,80,0.0,False,0.0,3.0,6047.0,0.0,1693.0,away,-1,1693.0,0,32,24,0.75,17.0,11.0,West
game_2022_3801,2022-02-10,nebraska_cornhuskers,51,19,23,6,15,14,13,4,2,16,0,27,21,0,19,70,80,8.0,False,0.0,4.0,3135.0,0.0,531.0,away,-1,1162.0,0,32,24,0.75,17.0,11.0,West
game_2022_4048,2022-02-14,nebraska_cornhuskers,46,21,15,7,21,9,12,3,6,16,0,35,13,0,15,72,55,21.0,False,0.0,2.0,4109.0,0.0,715.0,home,1,0.0,1,32,24,0.75,17.0,11.0,West
