id,sales
3000888,339.3282125964761
3000889,328.3624634835869
3000890,393.7432892527431
3000891,1069.8967140838504
3000892,295.46521614678204
3000893,742.5789163280278
3000894,273.5337179210037
3000895,1216.9001548383385
3000896,1969.4001545496285
3000897,927.7556445263326
3000898,267.8440089132637
3000899,256.8782598003745
3000900,2650.8296194840223
3000901,196.77347413264215
3000902,185.80772502161562
3000903,251.18855079077184
3000904,392.9159514438361
3000905,152.9104776829481
3000906,523.6776029821485
3000907,130.97897945716977
3000908,730.7858294062316
3000909,299.91391843929887
3000910,441.6413190923631
3000911,87.11598300933838
3000912,76.15023389644921
3000913,752.3036587238312
3000914,54.21873567253351
3000915,43.25298655964434
3000916,32.28723744675517
3000917,21.321488333866
3000918,9782.717324169353
3000919,533.8160142861307
3000920,-11.575759002938867
3000921,362.4467373099178
3000922,351.48098819702864
3000923,416.86181396618485
3000924,1971.0008499454707
3000925,318.58374086022377
3000926,880.217303365469
3000927,296.65224263444543
3000928,1430.885116757825
3000929,4321.089213177562
3000930,950.8741692397743
3000931,290.9625336267054
3000932,279.99678451381624
3000933,3895.493342315778
3000934,219.89199884608388
3000935,208.92624973505735
3000936,274.3070755060762
3000937,416.0344761572778
3000938,176.02900239638984
3000939,737.662564901635
3000940,154.0975041706115
3000941,753.9043541196734
3000942,323.0324431527406
3000943,502.93313124775887
3000944,110.23450772278011
3000945,99.26875860989094
3000946,813.5954708792269
3000947,77.33726038597524
3000948,66.37151127308607
3000949,55.4057621601969
3000950,44.44001304730773
3000951,8813.330375410616
3000952,556.9345389995724
3000953,11.542765710502863
3000954,365.29803161881864
3000955,354.33228250592947
3000956,419.7131082750857
3000957,2317.411731224507
3000958,321.4350351691246
3000959,921.2418851163238
3000960,299.50353694334626
3000961,1624.6028482727706
3000962,5812.698717692867
3000963,953.7254635486752
3000964,293.81382793560624
3000965,282.84807882271707
3000966,4127.384361270815
3000967,222.7432931549847
3000968,211.7775440439582
3000969,353.50494469702244
3000970,418.88577046617866
3000971,178.88029670529068
3000972,702.3405717704445
3000973,156.94879847951233
3000974,756.7556484285742
3000975,249.53716257959604
3000976,429.43785067275167
3000977,113.08580203168094
3000978,102.12005291879177
3000979,778.2734777461737
3000980,80.18855469487607
3000981,107.39609302207828
3000982,58.25705646909773
3000983,47.29130735620856
3000984,6258.5714111588895
3000985,559.7858333084732
3000986,14.394060019403696
3000987,368.1493259277195
3000988,357.1835768148303
3000989,422.5644025839865
3000990,1785.8370013572276
3000991,324.28632947802544
3000992,962.266466865316
3000993,302.3548312522471
3000994,1398.4144179336727
3000995,4670.351388765499
3000996,956.576757857576
3000997,296.6651222445071
3000998,285.6993731316179
3000999,3557.6363439615816
3001000,225.59458746388555
3001001,214.62883835285902
3001002,280.0096641238779
3001003,421.7370647750795
3001004,181.7315910141915
3001005,743.3651535194367
3001006,159.80009278841317
3001007,759.606942737475
3001008,328.73503177054226
3001009,470.4624324236065
3001010,115.93709634058177
3001011,104.9713472276926
3001012,666.6049097329378
3001013,83.03984900377691
3001014,72.07409989088774
3001015,99.28163821808994
3001016,50.142601665109396
3001017,8399.126802176237
3001018,562.6371276173741
3001019,17.24535432830453
3001020,371.0006202366203
3001021,360.03487112373114
3001022,425.41569689288735
3001023,1597.8218584600836
3001024,327.13762378692627
3001025,926.9444737341255
3001026,305.2061255611479
3001027,1401.2657122425735
3001028,4367.816383544356
3001029,959.4280521664768
3001030,299.5164165534079
3001031,288.55066744051874
3001032,3675.007500594482
3001033,228.44588177278638
3001034,217.48013266175985
3001035,282.8609584327787
3001036,424.5883590839803
3001037,184.58288532309234
3001038,708.0431603882462
3001039,162.651387097314
3001040,762.4582370463759
3001041,255.2397511973977
3001042,511.48701417446136
3001043,118.78839064948261
3001044,107.82264153659344
3001045,860.3226412478834
3001046,85.89114331267774
3001047,74.92539419978857
3001048,63.9596450868994
3001049,52.99389597401023
3001050,9356.310282515362
3001051,565.4884219262749
3001052,20.096648637205362
3001053,373.85191454552114
3001054,362.88616543263197
3001055,428.2669912017882
3001056,1791.5395899750292
3001057,329.9889180958271
3001058,891.6224806010723
3001059,308.05741987004876
3001060,1480.4635814353824
3001061,4637.880689941347
3001062,962.2793464753777
3001063,302.36771086230874
3001064,291.40196174941957
3001065,3601.5122200213373
3001066,231.2971760816872
3001067,220.3314269706607
3001068,285.71225274167955
