id,sales
3000888,-0.4914633
3000889,-2.832253
3000890,-171.98306
3000891,2498.3008
3000892,-54.047512
3000893,292.53345
3000894,-34.03547
3000895,894.78455
3000896,642.56354
3000897,154.68169
3000898,171.79422
3000899,151.61426
3000900,2595.5562
3000901,10.46029
3000902,-5.2294655
3000903,43.477814
3000904,14.321112
3000905,-3.7224479
3000906,178.7424
3000907,6.699474
3000908,14.334057
3000909,9.709113
3000910,-2.4035296
3000911,3.3513994
3000912,361.28574
3000913,151.72575
3000914,-16.004463
3000915,-16.004463
3000916,363.0003
3000917,84.43217
3000918,3300.277
3000919,153.51263
3000920,-4.8617105
3000921,-112.733765
3000922,-115.074554
3000923,-291.6656
3000924,1497.0613
3000925,-153.98947
3000926,-49.560596
3000927,-167.07045
3000928,176.76402
3000929,-460.09723
3000930,-88.63765
3000931,-143.57951
3000932,-163.75949
3000933,3129.4822
3000934,-29.917288
3000935,-45.607037
3000936,-211.01057
3000937,-230.65022
3000938,-44.10002
3000939,15.422471
3000940,-47.480434
3000941,-221.32216
3000942,-226.67189
3000943,-238.05971
3000944,-40.231857
3000945,268.616
3000946,-417.25095
3000947,-52.33861
3000948,-52.33861
3000949,236.87115
3000950,-43.911133
3000951,1822.269
3000952,-143.85732
3000953,-47.59804
3000954,20.530413
3000955,18.18963
3000956,-5.5974894
3000957,3853.5088
3000958,105.788216
3000959,683.7752
3000960,128.91678
3000961,1780.3602
3000962,926.7213
3000963,434.8393
3000964,227.23242
3000965,207.05244
3000966,6649.377
3000967,66.97579
3000968,51.286034
3000969,185.75978
3000970,220.1529
3000971,52.79305
3000972,435.3513
3000973,49.334747
3000974,229.48088
3000975,122.87514
3000976,212.74327
3000977,28.775936
3000978,468.59482
3000979,452.67734
3000980,65.549095
3000981,6.1410832
3000982,375.9047
3000983,95.12236
3000984,2214.336
3000985,277.45926
3000986,48.83153
3000987,-11.496698
3000988,-13.837494
3000989,-43.76957
3000990,1580.3617
3000991,-39.03898
3000992,205.17676
3000993,-42.699852
3000994,925.31854
3000995,481.24478
3000996,146.6466
3000997,72.266754
3000998,52.08677
3000999,2919.7678
3001000,3.7317595
3001001,-11.957992
3001002,-53.268757
3001003,-129.56532
3001004,-10.450974
3001005,116.507286
3001006,-10.480729
3001007,-120.23731
3001008,-119.04206
3001009,-136.97485
3001010,-12.122687
3001011,204.76242
3001012,44.985092
3001013,-18.361412
3001014,-18.361412
3001015,121.71186
3001016,-30.768705
3001017,2730.3877
3001018,-6.216078
3001019,-42.11849
3001020,-11.496698
3001021,-13.837494
3001022,-43.76957
3001023,1512.3782
3001024,-39.03898
3001025,131.19948
3001026,-42.699852
3001027,925.31854
3001028,358.7017
3001029,146.6466
3001030,72.266754
3001031,52.08677
3001032,2919.7678
3001033,3.7317595
3001034,-11.957992
3001035,-53.268757
3001036,-129.56532
3001037,-10.450974
3001038,85.63296
3001039,-10.480729
3001040,-120.23731
3001041,-156.24188
3001042,-136.97485
3001043,-12.122687
3001044,204.76242
3001045,82.94712
3001046,-18.361412
3001047,-18.361412
3001048,139.76546
3001049,-30.768705
3001050,2730.3877
3001051,-6.216078
3001052,-42.11849
3001053,-9.48456
3001054,-11.8253565
3001055,-95.52963
3001056,1428.1555
